	manual_annotation
6-MTL_WM	Oligodendrocytes
44-MTL_WM	Oligodendrocytes
77-MTL_WM	Oligodendrocytes
82-MTL_WM	Astrocytes
106-MTL_WM	Oligodendrocytes
126-MTL_WM	Oligodendrocytes
137-MTL_WM	Microglia
155-MTL_WM	Oligodendrocytes
167-MTL_WM	Oligodendrocytes
190-MTL_WM	Astrocytes
207-MTL_WM	Oligodendrocytes
261-MTL_WM	Astrocytes
267-MTL_WM	Astrocytes
295-MTL_WM	Astrocytes
316-MTL_WM	Astrocytes
335-MTL_WM	Oligodendrocytes
393-MTL_WM	Oligodendrocytes
403-MTL_WM	Oligodendrocytes
415-MTL_WM	Oligodendrocytes
466-MTL_WM	Oligodendrocytes
608-MTL_WM	Oligodendrocytes
643-MTL_WM	Oligodendrocytes
646-MTL_WM	Oligodendrocytes
676-MTL_WM	Astrocytes
680-MTL_WM	Endothelial
751-MTL_WM	Endothelial
801-MTL_WM	Oligodendrocytes
836-MTL_WM	Astrocytes
851-MTL_WM	VLMCs
856-MTL_WM	Oligodendrocytes
861-MTL_WM	Oligodendrocytes
865-MTL_WM	Oligodendrocytes
876-MTL_WM	Microglia
905-MTL_WM	Oligodendrocytes
924-MTL_WM	Oligodendrocytes
926-MTL_WM	Oligodendrocytes
970-MTL_WM	Oligodendrocytes
981-MTL_WM	Oligodendrocytes
1049-MTL_WM	Astrocytes
1062-MTL_WM	Oligodendrocytes
1084-MTL_WM	Astrocytes
1099-MTL_WM	Oligodendrocytes
1161-MTL_WM	Astrocytes
1167-MTL_WM	Oligodendrocytes
1177-MTL_WM	Astrocytes
1181-MTL_WM	Microglia
1209-MTL_WM	Endothelial
1213-MTL_WM	Oligodendrocytes
1235-MTL_WM	Oligodendrocytes
1261-MTL_WM	Oligodendrocytes
1266-MTL_WM	Astrocytes
1268-MTL_WM	Microglia
1304-MTL_WM	Oligodendrocytes
1377-MTL_WM	Oligodendrocytes
1417-MTL_WM	Oligodendrocytes
1438-MTL_WM	Oligodendrocytes
1441-MTL_WM	OPCs
1482-MTL_WM	Oligodendrocytes
1486-MTL_WM	Oligodendrocytes
1487-MTL_WM	Oligodendrocytes
1503-MTL_WM	Microglia
1522-MTL_WM	Astrocytes
1537-MTL_WM	Microglia
1560-MTL_WM	Oligodendrocytes
1572-MTL_WM	VLMCs
1616-MTL_WM	Oligodendrocytes
1638-MTL_WM	Astrocytes
1662-MTL_WM	Astrocytes
1666-MTL_WM	Oligodendrocytes
1679-MTL_WM	Astrocytes
1681-MTL_WM	Oligodendrocytes
1693-MTL_WM	OPCs
1717-MTL_WM	Oligodendrocytes
1774-MTL_WM	Oligodendrocytes
1798-MTL_WM	Oligodendrocytes
1804-MTL_WM	Microglia
1807-MTL_WM	Oligodendrocytes
1848-MTL_WM	Astrocytes
1856-MTL_WM	Astrocytes
1861-MTL_WM	Astrocytes
1878-MTL_WM	Oligodendrocytes
1880-MTL_WM	Astrocytes
1882-MTL_WM	Oligodendrocytes
1940-MTL_WM	Oligodendrocytes
1955-MTL_WM	Oligodendrocytes
2015-MTL_WM	Oligodendrocytes
2042-MTL_WM	Oligodendrocytes
2088-MTL_WM	Astrocytes
2101-MTL_WM	Microglia
2153-MTL_WM	Microglia
2168-MTL_WM	Oligodendrocytes
2172-MTL_WM	Oligodendrocytes
2187-MTL_WM	Astrocytes
2212-MTL_WM	Oligodendrocytes
2290-MTL_WM	OPCs
2297-MTL_WM	Oligodendrocytes
2310-MTL_WM	Astrocytes
2357-MTL_WM	Microglia
2400-MTL_WM	Oligodendrocytes
2404-MTL_WM	OPCs
2417-MTL_WM	Oligodendrocytes
2440-MTL_WM	Microglia
2449-MTL_WM	OPCs
2484-MTL_WM	Oligodendrocytes
2505-MTL_WM	Oligodendrocytes
2573-MTL_WM	Microglia
2575-MTL_WM	Oligodendrocytes
2580-MTL_WM	Astrocytes
2614-MTL_WM	Oligodendrocytes
2694-MTL_WM	VLMCs
2724-MTL_WM	Oligodendrocytes
2727-MTL_WM	Oligodendrocytes
2753-MTL_WM	Oligodendrocytes
2776-MTL_WM	Oligodendrocytes
2781-MTL_WM	Oligodendrocytes
2834-MTL_WM	Oligodendrocytes
2838-MTL_WM	Oligodendrocytes
2883-MTL_WM	Inh. Neurons
2932-MTL_WM	Astrocytes
2983-MTL_WM	Astrocytes
3048-MTL_WM	Astrocytes
3111-MTL_WM	Oligodendrocytes
3158-MTL_WM	Astrocytes
3169-MTL_WM	Oligodendrocytes
3185-MTL_WM	Astrocytes
3203-MTL_WM	Oligodendrocytes
3228-MTL_WM	Oligodendrocytes
3229-MTL_WM	Oligodendrocytes
3236-MTL_WM	VLMCs
3261-MTL_WM	Oligodendrocytes
3278-MTL_WM	Oligodendrocytes
3290-MTL_WM	Microglia
3297-MTL_WM	Astrocytes
3298-MTL_WM	Microglia
3308-MTL_WM	OPCs
3364-MTL_WM	Oligodendrocytes
3421-MTL_WM	Oligodendrocytes
3439-MTL_WM	Oligodendrocytes
3446-MTL_WM	Astrocytes
3457-MTL_WM	Oligodendrocytes
3459-MTL_WM	Oligodendrocytes
3467-MTL_WM	Oligodendrocytes
3504-MTL_WM	Oligodendrocytes
3509-MTL_WM	Oligodendrocytes
3522-MTL_WM	Oligodendrocytes
3544-MTL_WM	Astrocytes
3588-MTL_WM	OPCs
3604-MTL_WM	Astrocytes
3693-MTL_WM	Oligodendrocytes
3712-MTL_WM	Astrocytes
3787-MTL_WM	Astrocytes
3828-MTL_WM	Oligodendrocytes
3845-MTL_WM	Oligodendrocytes
3852-MTL_WM	Oligodendrocytes
3862-MTL_WM	Oligodendrocytes
3933-MTL_WM	Oligodendrocytes
4070-MTL_WM	Astrocytes
4090-MTL_WM	Oligodendrocytes
4098-MTL_WM	Oligodendrocytes
4106-MTL_WM	Oligodendrocytes
4109-MTL_WM	Oligodendrocytes
4114-MTL_WM	Oligodendrocytes
4137-MTL_WM	Microglia
